# mq_addr     sends  recvs  ext  deliv  blk  Tmr  Sp  Si  Ai  Vi  Pi  Dp  Unt
0x8010FF50     74     75    0      0    0    0    0    0    0    0    0    0    0
0x801548C0      1      2    0      0    0    0    0    0    0    0    0    0    0
0x8010DFD8      0      1    0      0    0    0    0    0    0    0    0    0    0
0x80110950      0      2    2      2    0    0    0    0    0    0    2    0    0
0x8010FEE0     39     38    0      0    0    0    0    0    0    0    0    0    0
0x80110990      9      8    0      0    0    0    0    0    0    0    0    0    0
0x80128D10    116    115    0      0    0    0    0    0    0    0    0    0    0
0x8011A818     38     38    0      0    0    0    0    0    0    0    0    0    0
0x80154CF0      6     15    0      0    0    0    0    0    0    0    0    0    0
0x801108C0      0      1    1      1    0    0    0    0    0    0    1    0    0
0x80114388      0     77   77      2    1    0    0    0    0   77    0    0    0
0x8011A420    109    219  109    106    0    0  109    0    0    0    0    0    0
0x8011A408      0     38   37      0    0    0    0    0    0    0    0   37    0
0x80110968      0      1    1      1    0    0    0    0    0    0    1    0    0
0x80128CF0     74     74    0      0    0    0    0    0    0    0    0    0    0
0x801108D8      0      1    1      1    0    0    0    0    0    0    1    0    0
0x801108F0      0      1    1      1    0    0    0    0    0    0    1    0    0
0x80163FD0      6      6    0      0    0    0    0    0    0    0    0    0    0
0x80110908      0      1    1      1    0    0    0    0    0    0    1    0    0
0x80111290      0      1    1      1    0    0    0    0    0    0    1    0    0
0x80165FE8      1      1    0      0    0    0    0    0    0    0    0    0    0
0x80110750    114    113    0      0    0    0    0    0    0    0    0    0    0
0x80149990      1      0    0      0    0    0    0    0    0    0    0    0    0
0x80149670      0     76   75     75    0    0    0    0   75    0    0    0    0
0x80110770      0    148  148    148    0    0    0  148    0    0    0    0    0
0x80110920      0     11   11     11    0    0    0    0    0    0   11    0    0
0x8011A7E8     37     38    0      0    0    0    0    0    0    0    0    0    0
0x8011A800     71     70    0      0    0    0    0    0    0    0    0    0    0
0x80110938      0      1    1      1    0    0    0    0    0    0    1    0    0
