# mq_addr     sends  recvs  ext  deliv  blk  Tmr  Sp  Si  Ai  Vi  Pi  Dp  Unt
0x8010FF50     40     41    0      0    0    0    0    0    0    0    0    0    0
0x801548C0      1      2    0      0    0    0    0    0    0    0    0    0    0
0x8010DFD8      0      1    0      0    0    0    0    0    0    0    0    0    0
0x8010FEE0     32     31    0      0    0    0    0    0    0    0    0    0    0
0x80110990      6      5    0      0    0    0    0    0    0    0    0    0    0
0x80128D10     63     62    0      0    0    0    0    0    0    0    0    0    0
0x8011A818     20     20    0      0    0    0    0    0    0    0    0    0    0
0x80154CF0      3      8    0      0    0    0    0    0    0    0    0    0    0
0x801108C0      0      1    1      1    0    0    0    0    0    0    1    0    0
0x80114388      0     42   41      2    0    0    0    0    0   41    0    0    0
0x8011A420     56    113   56     52    0    0   56    0    0    0    0    0    0
0x8011A408      0     20   19      0    0    0    0    0    0    0    0   19    0
0x80128CF0     38     38    0      0    0    0    0    0    0    0    0    0    0
0x801108D8      0      1    1      1    0    0    0    0    0    0    1    0    0
0x801108F0      0      1    1      1    0    0    0    0    0    0    1    0    0
0x80163FD0      3      3    0      0    0    0    0    0    0    0    0    0    0
0x80110908      0      1    1      1    0    0    0    0    0    0    1    0    0
0x80111290      0      1    1      1    0    0    0    0    0    0    1    0    0
0x80165FE8      1      1    0      0    0    0    0    0    0    0    0    0    0
0x80110750     62     61    0      0    0    0    0    0    0    0    0    0    0
0x80149990      1      0    0      0    0    0    0    0    0    0    0    0    0
0x80149670      0     41   40     40    0    0    0    0   40    0    0    0    0
0x80110770      0     80   80     80    0    0    0   80    0    0    0    0    0
0x80110920      0     11   11     11    0    0    0    0    0    0   11    0    0
0x8011A7E8     19     20    0      0    0    0    0    0    0    0    0    0    0
0x8011A800     36     35    0      0    0    0    0    0    0    0    0    0    0
